Remove 	{103}	 At node49	 TIME: 	88.28815951104932
Remove 	{103}	 At node52	 TIME: 	88.29794575601319
Remove 	{103}	 At node30	 TIME: 	88.30184768649826
Remove 	{103}	 At node31	 TIME: 	88.30484674183516
Remove 	{103}	 At node55	 TIME: 	88.30863803019126
Remove 	{103}	 At node47	 TIME: 	88.32072123778241
Remove 	{103}	 At node46	 TIME: 	88.3396395691044
Remove 	{103}	 At node60	 TIME: 	88.35907383546966
Remove 	{103}	 At node57	 TIME: 	88.36160668833928
Remove 	{103}	 At node58	 TIME: 	88.36737569366777
Insert 	 192	 At node8	 TIME: 	91.66326797441327
Remove 	{53}	 At node2	 TIME: 	95.14274232758548
Remove 	{53}	 At node7	 TIME: 	95.17069152191723
Remove 	{53}	 At node14	 TIME: 	95.17646643658728
Remove 	{53}	 At node30	 TIME: 	95.17763915660126
Remove 	{53}	 At node31	 TIME: 	95.17815622638044
Remove 	{53}	 At node27	 TIME: 	95.18275602549116
Remove 	{53}	 At node8	 TIME: 	95.18662704788771
Remove 	{53}	 At node34	 TIME: 	95.19638931084721
Remove 	{53}	 At node28	 TIME: 	95.21676582247555
Remove 	{53}	 At node29	 TIME: 	95.23004750281474
Remove 	{53}	 At node33	 TIME: 	95.25394992529976
Remove 	{53}	 At node32	 TIME: 	95.2707572455042
Remove 	{53}	 At node36	 TIME: 	95.2806656282079
Remove 	{53}	 At node35	 TIME: 	95.28260799038382
Insert 	 192	 At node34	 TIME: 	96.70996344268619
Insert 	 291	 At node29	 TIME: 	99.90933737759319
Remove 	{73}	 At node7	 TIME: 	100.09856908601932
Remove 	{73}	 At node6	 TIME: 	100.11456896675546
Remove 	{73}	 At node2	 TIME: 	100.16248467445288
Remove 	{73}	 At node28	 TIME: 	100.1637899262094
Remove 	{73}	 At node29	 TIME: 	100.16943797826266
Remove 	{73}	 At node3	 TIME: 	100.17183904377411
Remove 	{73}	 At node8	 TIME: 	100.1838357986283
Remove 	{73}	 At node10	 TIME: 	100.18785071340865
